ISO3,year,country,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,redist_after,redist,abs_red,abs_red_se,rel_red,rel_red_se,region,light_gini_lpp,sol,sol_gt10,light_gini_lpp_gt10,income_cat
AUS,2000,Australia,31.9,0.8,48.5,1.2,1975,TRUE,16.6,1.4,34.2,1.8,Oceania,64.6154399258069,1735930,13419.5719467031,58.7998672827319,High Income
AUS,2005,Australia,32.3,0.9,47.8,1.3,1975,TRUE,15.5,1.6,32.4,2.1,Oceania,64.5567141878588,1655905,12671.5454940631,56.5960400806185,High Income
AUS,2010,Australia,33.1,0.6,47.9,0.6,1975,TRUE,14.8,0.8,30.9,1,Oceania,63.0308135845075,2647333,22980.9129006726,58.3745676048115,High Income
AUT,1990,Austria,24.8,1.2,37.6,1.8,1975,TRUE,12.8,2.2,34,2.8,Europe,41.8778915245631,877502.93785551,699.341314117075,41.8778915245631,High Income
AUT,1995,Austria,28,0.4,41.5,1,1975,TRUE,13.5,1.1,32.5,1.5,Europe,39.904473027623,952104,938.582869107901,39.904473027623,High Income
AUT,2000,Austria,26.5,0.8,43.8,1.2,1975,TRUE,17.3,1.4,39.5,1.8,Europe,45.7199044235864,992308,22748.8275968702,36.5155827752241,High Income
AUT,2005,Austria,27.2,0.8,46.5,1,1975,TRUE,19.3,1.3,41.5,1.6,Europe,45.0442611702199,1001296,21897.6102093725,36.4706685720957,High Income
AUT,2010,Austria,28,0.6,49.1,0.8,1975,TRUE,21.1,1,43,1.3,Europe,42.6772496876476,1827764,44246.245644736,34.2620766533531,High Income
AUT,2015,Austria,27.7,1.2,48.9,1.6,1975,TRUE,21.2,2,43.4,2.6,Europe,58.3856510451503,307944.80856438,3413.58928272514,54.8782137523343,High Income
AZE,1990,Azerbaijan,32.1,2.5,37.9,2.3,,,,,,,Asia,45.008522733339,321892.112072789,180.046556466188,45.008522733339,Middle Income
AZE,1995,Azerbaijan,32.4,2.4,38.3,2.2,,,,,,,Asia,39.714688740504,305454,226.659939235736,39.714688740504,Middle Income
AZE,2000,Azerbaijan,30.6,2.3,35.5,2.1,,,,,,,Asia,47.6755282441369,168312,2722.66138646546,41.2793773521759,Middle Income
AZE,2005,Azerbaijan,28,2.4,31.4,2.2,,,,,,,Asia,45.3306936016181,253508,4291.08239929902,39.6276413679761,Middle Income
BDI,1995,Burundi,35.1,2.3,40.1,2.6,,,,,,,Africa,44.1293135698046,5322,0.467613736120174,44.1293135698046,Low Income
BDI,2000,Burundi,35.3,2.1,40.4,2.4,,,,,,,Africa,73.0694685889419,4292,10.7556607331117,58.1828189454024,Low Income
BDI,2005,Burundi,33.4,2,38.8,2.5,,,,,,,Africa,72.5680591175412,3432,5.46739801087359,55.0862768948441,Low Income
BDI,2010,Burundi,33.6,2.5,38.8,2.9,,,,,,,Africa,65.33259403483,9698,18.4290082552134,51.055397790266,Low Income
BEL,1990,Belgium,23.4,0.9,44.3,1.4,1975,TRUE,20.9,1.7,47.2,2.2,Europe,33.340621406199,3058122.30171172,546.040372805029,33.340621406199,High Income
BEL,1995,Belgium,25.2,0.8,47.2,1.1,1975,TRUE,22,1.4,46.6,1.8,Europe,31.9952109361778,1660401,595.580447021414,31.9952109361778,High Income
BEL,2000,Belgium,26.5,1,48.6,1.2,1975,TRUE,22.1,1.6,45.5,2,Europe,32.7057017634649,1555673,14024.3072633771,32.0355520527295,High Income
BEL,2005,Belgium,26.3,0.8,49.2,1.4,1975,TRUE,22.9,1.6,46.5,2.1,Europe,33.3508360546562,1416885,12740.3216207733,32.7932943299831,High Income
BEL,2010,Belgium,25.6,0.8,48.5,1.4,1975,TRUE,22.9,1.6,47.2,2.1,Europe,37.4942637211426,2157670,22507.6334151098,37.0897132858512,High Income
BEL,2015,Belgium,25.6,1.2,48.5,1.9,1975,TRUE,22.9,2.2,47.2,2.9,Europe,46.7451396292408,930097.318967044,4405.22226465388,46.6716470668397,High Income
BEN,2005,Benin,39.5,1.7,45.2,2.1,,,,,,,Africa,73.1121744078639,20621,92.6619701535492,64.4329434955021,Low Income
BEN,2010,Benin,40.9,1.6,46.8,2,,,,,,,Africa,70.0300961719926,56029,318.31893857209,63.6895332780057,Low Income
BEN,2015,Benin,41.8,1.9,47.8,2.4,,,,,,,Africa,65.1061800118541,17132.076300703,75.9633413021682,63.6427829906805,Low Income
BFA,1995,Burkina Faso,42.8,2.1,48.6,2.4,,,,,,,Africa,57.1328309835573,18637,6.85380035849928,57.1328309835573,Low Income
BFA,2000,Burkina Faso,41.9,1.9,47.7,2.3,,,,,,,Africa,54.3808361587549,23809,182.829336092771,51.0414793770145,Low Income
BFA,2005,Burkina Faso,38.9,2,44.8,2.3,,,,,,,Africa,52.9008360229242,29345,212.070931782975,48.7108322693425,Low Income
BFA,2010,Burkina Faso,35.5,2,41.4,2.4,,,,,,,Africa,56.0408464603826,58048,518.448526729381,49.9112379070149,Low Income
BGD,1990,Bangladesh,33.1,1.5,36.3,1.5,,,,,,,Asia,40.3091948969662,492655.068935769,15.0088657481929,40.3091948969662,Middle Income
BGD,1995,Bangladesh,35.9,1.5,38.6,1.5,,,,,,,Asia,41.3232246979366,386781,19.7552880381394,41.3232246979366,Middle Income
BGD,2000,Bangladesh,37.7,1.4,40.1,1.5,,,,,,,Asia,44.0354807632095,368644,463.611262928375,39.7239112900223,Middle Income
BGD,2005,Bangladesh,38.9,1.6,41.3,1.6,,,,,,,Asia,43.8891404728943,321773,359.507609651397,40.1292372377832,Middle Income
BGD,2010,Bangladesh,38.8,1.6,40.9,1.6,,,,,,,Asia,41.3436342935216,532183,562.215182242736,37.4165551102284,Middle Income
BGR,1990,Bulgaria,28.7,2,33.7,3.4,1993,FALSE,,,,,Europe,39.3382078563166,556186.973250092,420.358634995505,39.3382078563166,Middle Income
BGR,1995,Bulgaria,32,1.7,34.5,3.1,1993,TRUE,2.5,3.5,7.2,4.7,Europe,38.133061900763,665191,742.004676971892,38.133061900763,Middle Income
BGR,2000,Bulgaria,31.8,1.5,34.8,3.1,1993,TRUE,3,3.4,8.6,4.6,Europe,41.485492347604,575669,16249.1401570211,38.0839681593404,Middle Income
BGR,2005,Bulgaria,32.3,1.5,35.2,3.2,1993,TRUE,2.90000000000001,3.5,8.2,4.7,Europe,41.116162835861,580762,16290.7655140189,37.517952609388,Middle Income
BGR,2010,Bulgaria,32.6,1.5,35.5,3.4,1993,TRUE,2.9,3.7,8.2,5,Europe,40.920224124126,972985,29704.2230313647,37.7611234368508,Middle Income
BGR,2015,Bulgaria,34.1,2.1,35.9,4.1,1993,TRUE,1.8,4.6,5,6.2,Europe,63.4894707754626,276756.055371851,5689.72966856789,63.2995000571205,Middle Income
BHS,2005,Bahamas,50.1,3.8,50.5,4.7,,,,,,,Americas,55.2345407029343,26923,457.13043946089,57.0090320573012,High Income
BHS,2010,Bahamas,48.8,3.7,49.9,4.8,,,,,,,Americas,56.1190536634832,40275,659.858426974363,52.5906214959696,High Income
BIH,2005,Bosnia and Herzegovina,40.4,2.2,48.4,5.3,,,,,,,Europe,51.2028335763543,292229,5457.61708080315,43.2449875754405,Middle Income
BIH,2010,Bosnia and Herzegovina,40.3,2.6,48.6,5.7,,,,,,,Europe,50.2568874348188,419482,7685.48554544552,42.2997331002334,Middle Income
BIH,2015,Bosnia and Herzegovina,39.6,3,48.6,6,,,,,,,Europe,71.7252757573553,131353.017689779,2226.8597003445,68.6202110463083,Middle Income
BLR,1990,Belarus,23.1,2.4,29.4,2.4,,,,,,,Europe,39.2316032204549,1077748.62468362,1601.65570730375,39.2316032204549,Middle Income
BLR,1995,Belarus,22.9,2,30.6,2.1,,,,,,,Europe,41.2646184413084,769103,1346.10441500713,41.2646184413084,Middle Income
BLR,2000,Belarus,23.2,1.4,32.1,1.6,,,,,,,Europe,39.9850072828672,776548,30330.8832378178,35.1036359157112,Middle Income
BLR,2005,Belarus,22.8,1.5,31.6,1.6,,,,,,,Europe,43.1468014365789,736508,26832.1574753532,39.5301067633851,Middle Income
BLR,2010,Belarus,23,1.6,31.9,1.7,,,,,,,Europe,38.1930978624585,2255576,82432.4746731769,35.5748653386152,Middle Income
BLR,2015,Belarus,22.8,2.2,31.8,2.4,,,,,,,Europe,66.9722874043512,274257.771358281,5543.83762449753,69.6469636334142,Middle Income
BLZ,1995,Belize,51.5,1.7,54.7,2.2,,,,,,,Americas,47.8510524520644,16519,103.978834267041,47.8510524520644,Middle Income
BLZ,2000,Belize,48.4,1.9,52.5,2.3,,,,,,,Americas,44.0800889550432,15010,312.648888079218,35.3585460030959,Middle Income
BLZ,2005,Belize,47.1,2.7,51.2,3.2,,,,,,,Americas,47.3614385537641,19781,475.528870342908,39.1874166428284,Middle Income
BOL,1990,Bolivia,44.4,1.8,45.1,2.3,1985,TRUE,0.700000000000003,2.9,1.6,3.7,Americas,72.0839500120475,279934.162192028,992.248063818248,71.9385260136145,Middle Income
BOL,1995,Bolivia,49.5,1.5,49.2,2.2,1985,TRUE,-0.299999999999997,2.7,-0.6,3.5,Americas,72.9784850707621,186083,1105.7487903669,72.3821224508914,Middle Income
BOL,2000,Bolivia,54.6,1,53.8,1.9,1985,TRUE,-0.800000000000004,2.1,-1.5,2.8,Americas,69.2559340741496,179805,1944.85695963432,51.8944661212645,Middle Income
BOL,2005,Bolivia,52.4,1,51.6,1.8,1985,TRUE,-0.799999999999997,2.1,-1.6,2.8,Americas,69.1080122224191,179958,2468.6540797364,57.248184651302,Middle Income
BOL,2010,Bolivia,44.9,1.1,45,1.7,1985,TRUE,0.100000000000001,2,0.2,2.6,Americas,66.3639981222532,356553,5117.26306435815,53.5305008811693,Middle Income
BOL,2015,Bolivia,43,1.1,42.9,1.8,1985,TRUE,-0.100000000000001,2.1,-0.2,2.8,Americas,82.9751755999321,329350.591943799,2241.25698309143,76.700296447197,Middle Income
BRA,1990,Brazil,52.9,0.9,62.6,1.5,1985,TRUE,9.7,1.7,15.5,2.3,Americas,76.5577097315045,11557982.0318332,6793.44300385598,72.0962368707906,Middle Income
BRA,1995,Brazil,52.2,0.9,62,1.5,1985,TRUE,9.8,1.7,15.8,2.3,Americas,75.6143473266194,6616025,12915.0787181225,71.6181391717417,Middle Income
BRA,2000,Brazil,51.5,1,61.1,1.6,1985,TRUE,9.6,1.9,15.7,2.5,Americas,65.6642226542454,6907834,93248.3087635114,56.7464836175894,Middle Income
BRA,2005,Brazil,49.3,0.7,58.2,0.9,1985,TRUE,8.90000000000001,1.1,15.3,1.4,Americas,64.9970612444543,6536668,83893.8422686577,54.3312589907997,Middle Income
BRA,2010,Brazil,46.3,0.6,55.6,0.8,1985,TRUE,9.3,1,16.7,1.3,Americas,62.7188020686304,12970236,200811.938515356,52.0183163850566,Middle Income
BRA,2015,Brazil,44.9,0.9,54.6,1.3,1985,TRUE,9.7,1.6,17.8,2.1,Americas,76.478604402463,8119733.88519394,39913.8744895625,62.1318501187788,Middle Income
BRB,1990,Barbados,46.4,3.7,47.2,4.5,,,,,,,Americas,53.7212267862401,36089.623565585,1.92086805576091,53.7212267862401,High Income
BRB,1995,Barbados,46.4,3.5,47.4,4.4,,,,,,,Americas,53.0221100955146,14179,2.02929563406263,53.0221100955146,High Income
BRB,2000,Barbados,46.8,3.4,47.8,4.5,,,,,,,Americas,69.0430018206522,14146,39.2609262007701,38.7653005424603,High Income
BRB,2005,Barbados,47.3,3.6,48.3,4.7,,,,,,,Americas,60.8093815631512,13985,36.4277886107746,33.5942133737899,High Income
BRB,2010,Barbados,47.9,3.6,48.7,4.9,,,,,,,Americas,63.2585854109522,19270,54.7827751245095,35.4123317011451,High Income
BTN,2005,Bhutan,47.3,1.8,48.7,1.8,,,,,,,Asia,64.8642401812904,7266,140.972321870415,49.6986485518303,Middle Income
BTN,2010,Bhutan,45.2,2,46.5,2,,,,,,,Asia,65.0247467298479,17166,263.594950228855,44.8574203311452,Middle Income
BWA,1990,Botswana,56.2,3.1,63.3,2.7,,,,,,,Africa,77.466970731446,34604.8458912949,250.379663173077,67.0339836636449,Middle Income
BWA,1995,Botswana,56.6,2.9,64,2.5,,,,,,,Africa,74.3620922697887,41146,389.237294259283,66.5794184948914,Middle Income
BWA,2000,Botswana,57.9,3.1,64.5,2.4,,,,,,,Africa,64.3069901457468,49137,256.219333033334,56.5553857833186,Middle Income
BWA,2005,Botswana,57.2,2.8,63.9,2.1,,,,,,,Africa,64.5288876964756,61174,281.004531568603,57.2184565815107,Middle Income
BWA,2010,Botswana,58.7,2.8,65.3,2.2,,,,,,,Africa,62.054500221552,110910,858.908602541336,55.9558728361598,Middle Income
CAF,1995,Central African Republic,47.5,3,53.6,3.5,,,,,,,Africa,55.7801892421062,5440,12.4154813032657,55.7801892421062,Low Income
CAF,2000,Central African Republic,45.9,2.8,52.6,3.1,,,,,,,Africa,71.8047807171692,4816,53.2120456332114,46.7758629726309,Low Income
CAF,2005,Central African Republic,45.3,2.2,52.3,2.6,,,,,,,Africa,72.4883794884147,2733,26.5568189859426,48.2320696219912,Low Income
CAN,1990,Canada,28.3,0.6,42.2,0.8,1975,TRUE,13.9,1,32.9,1.3,Americas,76.4797518251257,27482359.8224488,163897.254647952,57.2979463846899,High Income
CAN,1995,Canada,29.3,0.5,44.8,0.8,1975,TRUE,15.5,0.9,34.6,1.2,Americas,76.5881342665328,16685653,202838.277951598,56.2921471476905,High Income
CAN,2000,Canada,31.2,0.5,46.5,0.6,1975,TRUE,15.3,0.8,32.9,1,Americas,49.218969452529,13115749,139571.67030111,47.8978576331782,High Income
CAN,2005,Canada,31.3,0.6,46.8,0.8,1975,TRUE,15.5,1,33.1,1.3,Americas,49.2201128450606,10552677,109295.641719943,49.2586475434701,High Income
CAN,2010,Canada,31.4,0.5,47.6,0.6,1975,TRUE,16.2,0.8,34,1,Americas,48.7970885538045,16909953,163454.192309849,47.6294486737703,High Income
CAN,2015,Canada,31.4,1,47.1,1.4,1975,TRUE,15.7,1.7,33.3,2.2,Americas,73.2708003094907,7792987.87996677,58284.0626435464,62.2037185124486,High Income
CHE,1990,Switzerland,31.2,1.4,40,1.6,1975,TRUE,8.8,2.1,22,2.6,Europe,62.3076173678521,896951.426773673,463.689707369298,60.9906720962252,High Income
CHE,1995,Switzerland,30.1,1.4,39.7,1.6,1975,TRUE,9.6,2.1,24.2,2.6,Europe,61.3233865346393,780213,566.488495892414,56.8695356759946,High Income
CHE,2000,Switzerland,28.3,0.8,38.7,0.8,1975,TRUE,10.4,1.1,26.9,1.4,Europe,59.0891574234671,772124,10900.505943904,45.5921254661727,High Income
CHE,2005,Switzerland,28.7,0.9,39.9,1.2,1975,TRUE,11.2,1.5,28.1,1.9,Europe,54.7108342375096,879348,11669.7169014778,41.7002247681572,High Income
CHE,2010,Switzerland,29.4,0.7,40.9,0.8,1975,TRUE,11.5,1.1,28.1,1.4,Europe,55.3564539727158,1355664,19632.4179904778,41.8978609170081,High Income
CHE,2015,Switzerland,29.2,1.3,41.7,1.7,1975,TRUE,12.5,2.1,30,2.7,Europe,65.1348995317035,275178.559268728,1793.36299721809,58.5035493575124,High Income
CHL,1990,Chile,51.1,1,53.6,1.3,1985,TRUE,2.5,1.6,4.7,2.1,Americas,84.7995748424406,1097681.20756961,1784.97368166672,79.7435598971259,High Income
CHL,1995,Chile,50.9,1.2,53.6,1.4,1985,TRUE,2.7,1.8,5,2.3,Americas,85.9958834218435,531058,3212.78577475188,79.9078607642962,High Income
CHL,2000,Chile,50.6,1.2,53.1,1.4,1985,TRUE,2.5,1.8,4.7,2.3,Americas,69.5059502485828,599500,8506.09164329604,53.5632787303788,High Income
CHL,2005,Chile,48.7,1.4,51.3,1.5,1985,TRUE,2.59999999999999,2.1,5.1,2.6,Americas,69.0599285820408,643389,9083.95553182226,54.5196411991804,High Income
CHL,2010,Chile,47.4,1.2,49.7,1.4,1985,TRUE,2.3,1.8,4.6,2.3,Americas,67.0030815862269,1099853,17210.4613262454,52.6207054943616,High Income
CHL,2015,Chile,44.7,1.1,47.3,1.5,1985,TRUE,2.59999999999999,1.9,5.5,2.4,Americas,83.9095998390335,787569.476572989,9721.62876089975,79.277729414367,High Income
CHN,1990,China,36.8,1.1,38.3,1.8,1985,TRUE,1.5,2.1,3.9,2.8,Asia,86.1777007828594,13701370.7212629,5634.20422485251,83.691045037875,Middle Income
CHN,1995,China,40.9,1.2,42.5,1.8,1985,TRUE,1.6,2.2,3.8,2.8,Asia,88.555465815853,13447518,8156.12208092643,83.0218868298053,Middle Income
CHN,2000,China,45.9,1,47.7,1.4,1985,TRUE,1.8,1.7,3.8,2.2,Asia,77.3285715402805,13370984,88104.7459882097,61.7067740514027,Middle Income
CHN,2005,China,50.7,1.2,51.7,1.6,1985,TRUE,1,2,1.9,2.6,Asia,77.1855608159177,17612472,113186.201817684,61.5524462279651,Middle Income
CHN,2010,China,51.7,1.5,52.5,2.3,1985,TRUE,0.799999999999997,2.7,1.5,3.5,Asia,76.3350817088658,35971819,277393.691407127,60.6182427248222,Middle Income
CIV,1990,Côte D'Ivoire,36.3,1.8,41.9,2,,,,,,,Africa,56.3676790145847,120112.277019612,25.3855013562836,56.3676790145847,Middle Income
CIV,1995,Côte D'Ivoire,36.4,1.8,42.1,2,,,,,,,Africa,51.0623658027511,101237,79.4799259597101,51.0623658027511,Middle Income
CIV,2000,Côte D'Ivoire,37.2,1.8,42.9,2,,,,,,,Africa,49.022880575893,151816,2638.38043316399,45.4343076202475,Middle Income
CIV,2005,Côte D'Ivoire,37.9,2,43.5,2.2,,,,,,,Africa,43.9606546038162,139509,2198.80465417759,41.480039989642,Middle Income
CIV,2010,Côte D'Ivoire,37.5,2.2,43.2,2.5,,,,,,,Africa,42.0689745692556,314812,5010.11667062522,39.1646101584849,Middle Income
CIV,2015,Côte D'Ivoire,37.1,2.2,42.8,2.7,,,,,,,Africa,67.9568888072477,118735.099657521,1371.17586301947,66.1225998606838,Middle Income
CMR,2000,Cameroon,38.7,1.9,44.5,2.2,,,,,,,Africa,66.6167528908186,43468,569.387680633633,63.3883979564356,Middle Income
CMR,2005,Cameroon,38.9,2.1,44.8,2.4,,,,,,,Africa,66.4479630841652,39001,493.018799187889,62.2134839047465,Middle Income
CMR,2010,Cameroon,39.5,2.3,45.5,2.7,,,,,,,Africa,64.6948752641607,78582,1294.19258542993,62.9752674746873,Middle Income
COD,2005,"Congo, D.R.",38.7,2.1,44.2,2.5,,,,,,,Africa,72.9873412428704,67082,818.10215402932,71.8561179346308,Low Income
COD,2010,"Congo, D.R.",38.5,2.4,44.1,2.8,,,,,,,Africa,69.4480228631864,128311,2188.03832943668,67.0782271355241,Low Income
COG,2005,Congo,42.9,1.7,49,2.2,,,,,,,Africa,57.803870256864,51628,58.5988551493148,72.9324577891439,Middle Income
COG,2010,Congo,43.8,2.3,50,2.7,,,,,,,Africa,50.1572208569693,117297,156.472788861789,65.8636294535776,Middle Income
COL,1990,Colombia,51.1,1.8,52.7,2.8,1985,TRUE,1.6,3.3,3,4.3,Americas,77.2300055203783,1645089.20251299,899.612113401092,75.5527269049692,Middle Income
COL,1995,Colombia,52.1,1.6,53.6,2.3,1985,TRUE,1.5,2.8,2.8,3.6,Americas,71.610484856703,1255233,1479.54869562255,69.4679671096731,Middle Income
COL,2000,Colombia,52.6,1.2,54.2,1.7,1985,TRUE,1.6,2.1,3,2.7,Americas,61.8621452186127,1171610,19747.5168181769,50.3167756088447,Middle Income
COL,2005,Colombia,52.1,0.9,53.7,1.1,1985,TRUE,1.6,1.4,3,1.8,Americas,64.2136342738346,949055,14094.648373358,52.7548642049038,Middle Income
COL,2010,Colombia,50,0.7,51.6,0.8,1985,TRUE,1.6,1.1,3.1,1.4,Americas,63.7052327619633,1862476,32181.5323570636,50.2147184796332,Middle Income
COL,2015,Colombia,48.7,1.1,51,1.5,1985,TRUE,2.3,1.9,4.5,2.4,Americas,84.2392262685311,899426.199085869,9422.08513127973,81.1314061734218,Middle Income
COM,2005,Comoros,50.2,2.4,56.8,2.8,,,,,,,Africa,58.6488934390714,1140,7.57940812385737,53.8765847736184,Low Income
COM,2010,Comoros,47.9,3,54.9,3.2,,,,,,,Africa,65.9451921514886,3417,20.3138470491393,49.8752684028824,Low Income
CPV,2000,Cabo Verde,45.6,1.9,52,2.2,,,,,,,Africa,71.285823132586,6465,89.8041931284262,60.5106069664499,Middle Income
CPV,2005,Cabo Verde,44.5,1.8,51.1,2.1,,,,,,,Africa,69.2363814281119,6570,82.0138042514819,59.0219950495367,Middle Income
CPV,2010,Cabo Verde,43.2,2.4,50,2.6,,,,,,,Africa,65.9944449924435,13670,172.552122608777,52.1061334740814,Middle Income
CPV,2015,Cabo Verde,42.8,2.9,49.7,3.1,,,,,,,Africa,74.025332241266,3885.90667560697,41.1508088410517,70.4972661697138,Middle Income
CRI,1990,Costa Rica,40.7,0.9,39.5,1.4,1985,TRUE,-1.2,1.7,-3,2.2,Americas,53.571556801844,310137.380946216,65.2051534051073,53.571556801844,Middle Income
CRI,1995,Costa Rica,41.6,0.9,40.4,1.4,1985,TRUE,-1.2,1.7,-3,2.2,Americas,47.5756625950749,175881,155.945355343665,44.6366221570297,Middle Income
CRI,2000,Costa Rica,43.8,0.9,42.4,1.4,1985,TRUE,-1.4,1.7,-3.3,2.2,Americas,47.5331817610179,196826,4039.08938249498,37.139782606552,Middle Income
CRI,2005,Costa Rica,44.4,0.9,43.1,1.5,1985,TRUE,-1.3,1.7,-3,2.3,Americas,46.5913865663179,178513,3646.45227591833,36.5872279445965,Middle Income
CRI,2010,Costa Rica,45.4,0.8,43.9,1.3,1985,TRUE,-1.5,1.5,-3.4,2,Americas,46.6546076315314,354881,8266.43436937,36.9980582730687,Middle Income
CRI,2015,Costa Rica,45.3,1,44,1.6,1985,TRUE,-1.3,1.9,-3,2.5,Americas,55.8767405989638,134837.909855731,1381.45889428101,54.6248430109264,Middle Income
CYP,1990,Cyprus,30.1,2.8,45.3,4.8,,,,,,,Asia,45.5124287736707,243390.193025679,164.417730697724,44.0618100679203,High Income
CYP,1995,Cyprus,29.8,2.7,46,4.6,,,,,,,Asia,47.0429272256109,120791,190.529893190515,46.1334796110475,High Income
CYP,2000,Cyprus,29.5,2.6,46.5,4.4,,,,,,,Asia,57.1382024045452,121871,2140.44976790938,46.2520278971061,High Income
CYP,2005,Cyprus,29.4,2.1,47.1,4,,,,,,,Asia,57.49689566305,129627,2099.53233844545,47.2930855420994,High Income
CYP,2010,Cyprus,30.1,2,47.7,4.1,,,,,,,Asia,57.3504114529742,224462,3966.75370057607,46.9016716156332,High Income
CYP,2015,Cyprus,31,2.5,48.1,4.7,,,,,,,Asia,69.0469141420924,108035.067931913,1230.16148617488,63.1229870428595,High Income
CZE,1990,Czech Republic,20.2,0.9,38.5,1.4,1993,FALSE,,,,,Europe,46.4633868888803,1803831.46518311,1382.59158328261,42.08282535861,High Income
CZE,1995,Czech Republic,24,0.8,42.2,1,1993,TRUE,18.2,1.3,43.1,1.6,Europe,42.5349415028817,1622295,1712.56073160047,37.8587368261344,High Income
CZE,2000,Czech Republic,25.3,0.9,44.9,1.3,1993,TRUE,19.6,1.6,43.7,2.1,Europe,44.8417338041996,1496041,33893.3890496049,35.4397493383724,High Income
CZE,2005,Czech Republic,25.8,0.7,45.8,1,1993,TRUE,20,1.2,43.7,1.6,Europe,42.50106604373,1624169,36095.1419543726,34.0201153609883,High Income
CZE,2010,Czech Republic,25.5,0.6,44.8,0.7,1993,TRUE,19.3,0.9,43.1,1.1,Europe,42.6707697606194,2824092,66834.1838352412,34.5237422460958,High Income
CZE,2015,Czech Republic,25.5,1.2,45.3,1.6,1993,TRUE,19.8,2,43.7,2.6,Europe,54.0968677287889,559006.063632146,5062.71871417434,50.6990134161824,High Income
DEU,1990,Germany,25.9,0.8,44,1.2,1975,TRUE,18.1,1.4,41.1,1.8,Europe,39.746080664244,10667320.5098476,2940.38733651785,36.7990751267098,High Income
DEU,1995,Germany,26.7,0.8,46,1.1,1975,TRUE,19.3,1.4,42,1.8,Europe,40.1567522592209,8231606,3761.20947233299,38.1563715155101,High Income
